egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
96184,1-2 times a month,Not at all,1-2 times a month,Not at all
92339,,,,
70005,Not at all,Not at all,Less than 1-2 times a month,Not at all
64157,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
68050,Not at all,Not at all,Not at all,Not at all
46151,,,,
79395,1-2 times a week,1-2 times a month,Three times a week or more,Not at all
59863,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
63419,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
22913,1-2 times a month,Not at all,1-2 times a month,Not at all
91313,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
14511,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
73962,1-2 times a week,1-2 times a week,Not at all,Not at all
48969,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
22093,,,,
32919,,,,
79731,Not at all,Not at all,Not at all,Not at all
64296,Not at all,Not at all,1-2 times a week,Not at all
23487,,,,
17569,Not at all,Not at all,1-2 times a week,Not at all
77036,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
53518,1-2 times a month,Not at all,Not at all,Not at all
92340,,,,
37485,,,,
33953,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
53333,,,,
82986,1-2 times a week,Not at all,1-2 times a month,Not at all
61772,,,,
47280,,,,
70566,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
82964,,,,
11402,1-2 times a week,Not at all,1-2 times a week,Not at all
38610,1-2 times a week,Not at all,Three times a week or more,Not at all
96610,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all
77711,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
78667,,,,
17020,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
48676,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month
29885,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
79167,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
65061,,,,
43710,Less than 1-2 times a month,Not at all,Three times a week or more,Three times a week or more
22455,Three times a week or more,Not at all,Not at all,Not at all
82819,,,,
67771,,,,
57443,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
96469,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
94579,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
29257,1-2 times a week,Not at all,1-2 times a week,Not at all
23518,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
80484,,,,
49539,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
63904,Not at all,Not at all,Not at all,Not at all
82490,1-2 times a week,Not at all,Three times a week or more,Not at all
20335,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
35031,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
88185,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
35344,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
31175,Three times a week or more,Three times a week or more,Not at all,Not at all
41167,,,,
98325,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
36963,,,,
50666,1-2 times a week,Not at all,1-2 times a week,Not at all
98624,,,,
42617,Three times a week or more,Not at all,Not at all,Not at all
58793,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
25125,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
25548,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
25966,,,,
96689,Not at all,Not at all,Not at all,Not at all
43581,,,,
75578,,,,
43507,,,,
91551,,,,
19030,,,,
33657,1-2 times a week,Not at all,1-2 times a month,1-2 times a month
