egoid,SelfEsteem_1_8,SelfEsteem_2_8,SelfEsteem_3_8,SelfEsteem_4_8,SelfEsteem_5_8,SelfEsteem_6_8,SelfEsteem_7_8,SelfEsteem_8_8,SelfEsteem_9_8,SelfEsteem_10_8,SelfEsteem_8,lonely_1_8,lonely_2_8,lonely_3_8,lonely_4_8,lonely_5_8,lonely_6_8,lonely_7_8,lonely_8_8,lonely_9_8,lonely_10_8,lonely_11_8,lonely_12_8,lonely_13_8,lonely_14_8,lonely_15_8,selsa_rom_8,selsa_fam_8,selsa_soc_8,Trust_1_8,Trust_2_8,Trust_3_8,Trust_4_8,Trust_5_8,Trust_6_8,Trust_8,SelfReg_1_8,SelfReg_3_8,SelfReg_4_8,SelfReg_5_8,SelfReg_6_8,SelfReg_7_8,SelfReg_8_8,SelfReg_9_8,SelfReg_10_8,SelfReg_11_8,SelfReg_12_8,SelfReg_13_8,selfreg_scale_8
47498,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
57325,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,31.0,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,1.0900128,-0.90915096,0.33011147,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,3.5,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,1.3333334
53776,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
58633,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
27306,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1.337095,-0.61875057,-0.81058282,Agree,Neither Agree or Disagree,Disagree,Agree,Disagree,Agree,3.8333333,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,1.4166666
80607,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
73143,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
35797,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
46365,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,49.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.2330985,-0.62129188,-0.64243913,Strongly Disagree,Disagree,Neither Agree or Disagree,Agree,Agree,Agree,3.6666667,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,2.1666667
30596,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
