egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
60008,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
66542,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
55881,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
86265,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
10732,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,28.0,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,2.6666667,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,3.5
22119,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
50797,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
39564,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,44.0,Neutral,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,2.8333333,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,3.0
39285,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
22460,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
25172,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,46.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,1.0833334,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,3.5
77134,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
22143,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
93766,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
45097,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
26289,,,,,,,,,,,38.18421052631579,,,,,,,,,,,,,2.332017539736842,,,,,,,3.238157894473684
95490,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Agree,34.0,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,3.0833333,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,3.5
