egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
93856,24.0,2.1666667,1.75,3.5,6.0,5.75,0.79872423,-2.0417259,6.1346531,2.75
10237,25.0,3.1666667,4.75,4.25,5.0,5.0,-0.96700072,0.55000359,0.72978562,3.25
97448,43.0,3.6666667,1.75,5.75,6.5,6.5,0.85092717,0.068386659,-1.0083237,1.8333334
97280,26.0,2.3333333,4.75,4.5,4.0,4.25,-0.65270573,0.77868998,2.0939176,3.1666667
54098,30.0,3.5,2.25,4.0,6.0,4.75,0.92662758,-0.19024025,2.2825618,3.0
66156,24.0,3.3333333,2.0,2.75,5.75,6.25,0.74138069,-0.094820708,-0.33518648,3.0
67177,31.0,2.8333333,1.25,4.5,7.0,6.25,-1.5995954,-0.59657198,-0.66366839,1.8333334
18611,24.0,2.3333333,1.0,4.75,6.75,6.5,-0.16525169,-0.50053912,1.0409142,1.8333334
87328,50.0,3.0,1.25,4.5,6.75,7.0,0.25749564,-0.61603177,-0.46730548,2.3333333
49497,35.0,3.3333333,1.0,5.0,4.0,3.25,-0.58397526,0.42640543,-0.73158884,2.75
17183,44.0,4.0,1.0,1.75,5.5,3.5,0.40060607,0.63630307,-0.91141891,2.9166667
22408,44.0,3.6666667,1.0,3.25,6.25,7.0,-1.5995954,-0.59657198,-0.66366839,1.8333334
54435,36.0,3.1666667,1.0,2.25,6.25,7.0,0.44537985,-0.53304559,-0.81324029,2.0
38293,35.0,3.6666667,3.25,4.25,5.5,5.25,-1.5188584,-0.59107524,-0.67598635,2.4166667
33785,24.0,3.3333333,2.25,6.75,5.5,5.0,0.56747621,0.12807672,1.0307755,4.0
44310,37.73015873015873,3.3333333,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,0.008495025903846157,-0.020252539240384622,-1.353924230769074e-05,2.3341295136942675
33009,50.0,3.5,1.25,3.0,6.25,5.75,0.67566669,-0.79654288,0.18405189,1.9166666
92339,35.0,3.1666667,1.5,4.75,6.5,6.5,1.0573875,-0.67748487,0.41025341,3.25
64157,37.0,4.1666665,1.0,4.5,7.0,7.0,0.71522731,-0.23072344,-0.57540131,1.6666666
63419,36.0,3.5,2.75,3.75,5.5,4.75,-1.2935503,-0.59530771,-0.67360008,2.0833333
22913,50.0,4.0,4.25,3.75,4.0,4.0,-0.045967523,1.7071122,0.27054274,3.0
