egoid,SelfEsteem_1,Trust_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_scale_1,SelfEff_diet_scale_1,selfreg_scale_1
97596,35.0,3.0,1.0,5.5,7.0,7.0,-1.2385166,-0.63510817,-0.71456307,48.722221,43.0,1.75
39129,30.0,3.0,1.75,4.25,4.0,3.5,0.7829017,-0.94053847,0.58660841,26.0,51.86570104858757,2.2795390894957985
57359,30.0,3.5,1.75,5.0,5.75,4.5,-1.5798103,0.21788551,0.42533037,38.722221,42.379311,2.8333333
17308,36.0,3.3333333,1.25,4.25,6.25,5.0,0.78901762,-0.58349687,-0.51647365,55.833332,32.965519,2.3333333
51851,49.0,2.0,1.75,2.25,6.75,6.5,-1.7315216,-0.39445281,0.83034265,80.0,86.758621,1.75
35855,48.0,3.5,1.25,2.75,5.75,5.75,0.016212979,0.22816557,0.12245342,69.470589,51.86570104858757,2.4545455
67334,37.0,2.6666667,1.0,1.0,5.0,4.75,1.0389593,0.0063280114,0.13896552,21.944445,18.0,2.9166667
60230,18.0,2.6666667,2.5,5.5,6.0,6.0,-1.7080561,0.10703389,0.73549944,70.888885,69.344826,1.75
77838,41.0,2.5,1.75,3.5,6.5,4.75,-1.2333263,-0.017030653,0.68614751,47.0,42.620689,2.5833333
37371,38.0,2.8333333,2.0,4.5,6.25,6.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,85.333336,60.655174,2.0
57292,44.0,3.5,1.5,2.75,6.25,6.5,0.14871465,-0.15566282,-0.83693683,80.277779,73.793106,1.9166666
66406,42.0,3.8333333,2.25,3.75,6.25,7.0,0.22880611,-0.90514052,0.77886456,56.388889,52.275864,2.4166667
90447,33.0,3.1666667,2.5,2.75,4.75,4.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,76.055557,37.137932,2.5
56798,48.0,3.8333333,1.25,2.0,6.0,5.75,0.95152968,-0.68862206,-0.77559954,52.222221,63.620689,1.5
28827,39.0,3.3333333,1.25,3.25,6.5,7.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,80.555557,77.379311,1.9166666
23115,39.0,3.8333333,2.5,5.0,5.75,6.0,-0.1110714,0.13662949,-0.37681517,69.111115,83.172417,1.8333334
77872,43.0,3.0,1.75,4.5,6.0,5.5,-0.69477111,-0.24393177,0.2578527,78.444443,47.275864,1.9166666
43114,36.0,3.6666667,2.75,3.75,5.5,4.75,0.76705647,-0.66179156,-0.78978515,46.833332,24.379311,2.5833333
72348,39.0,3.3333333,2.75,4.5,6.25,5.25,0.65463138,-0.61526138,-0.035125837,47.277779,40.034481,2.0833333
15707,26.0,3.8333333,2.25,3.25,4.5,3.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,20.357143,13.724138,3.5833333
45776,31.0,2.5,1.75,5.25,6.5,5.0,-1.6728646,-0.74902135,-0.44439825,42.666668,48.896553,2.4166667
63122,48.0,2.0,1.0,1.25,6.25,6.25,-1.6123062,-0.51236111,-0.728356,90.388885,87.275864,1.5833334
27169,43.0,3.5,1.25,5.0,5.75,5.75,-1.6098027,-0.089237206,-0.58927435,61.055557,33.034481,2.0
89607,35.0,3.5,4.0,5.25,4.25,3.5,-0.55707556,2.0643036,1.6106824,64.222221,73.965515,2.8333333
59900,37.0,3.5,1.0,1.0,1.0,1.0,0.82822067,-0.73826003,-0.74438381,42.222221,34.517242,1.5833334
28254,41.0,3.1666667,1.5,2.75,5.5,5.25,0.46167776,-0.20917247,-0.079262659,82.777779,63.689655,2.0
56480,40.0,3.3333333,3.25,5.5,5.75,4.75,-0.70589501,-0.51977324,-0.74121046,66.166664,42.689655,2.25
11128,44.0,3.5,1.0,1.0,4.5,4.0,-1.7077641,-0.64967227,0.06705676,40.222221,67.551727,1.8333334
47886,31.0,2.8333333,1.0,4.25,6.75,7.0,1.1532565,3.2710407,-0.43039829,89.166664,81.655174,1.6666666
28820,32.0,2.8333333,2.0,3.5,5.25,5.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,76.166664,42.793102,2.8333333
35347,45.0,2.0,1.25,1.25,2.5,2.25,0.95639253,-1.0110376,1.3471483,13.444445,18.620689,1.9166666
45641,33.0,3.5,1.25,2.75,5.75,5.5,-1.2275648,0.51078033,0.14352912,40.777779,37.172413,2.5833333
25369,40.0,3.3333333,3.75,3.0,5.5,4.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,39.888889,81.379311,2.1666667
64572,38.0,3.6666667,2.25,4.5,5.75,6.0,0.62441778,-0.32330808,-0.84797525,66.944443,62.413792,2.1666667
31538,42.0,3.6666667,2.0,3.75,5.25,4.75,-1.3093997,0.2413208,0.16302103,52.0,49.82143,2.0
73452,39.0,3.0,1.25,4.0,6.0,6.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,91.277779,19.103449,2.0
51475,40.0,2.8333333,2.5,5.75,7.0,5.5,0.94511664,-1.3720262,3.7461777,59.888889,47.448277,2.25
28312,36.0,3.0,3.0,5.5,4.75,4.5,-1.1442481,0.91130722,0.2812131,41.833332,38.724136,3.25
13486,50.0,4.3333335,1.75,6.5,7.0,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,100.0,100.0,1.3333334
56805,50.0,2.6666667,2.25,3.75,6.5,5.75,-1.4684325,-0.58582354,0.2901094,77.611115,76.827583,1.75
57697,28.0,3.3333333,2.0,5.25,7.0,5.5,1.1717527,2.3911111,-1.0642667,65.111115,57.689655,1.8333334
54837,36.0,2.3333333,1.25,3.0,5.25,7.0,1.0256379,-0.74479133,0.0075620287,97.777779,89.655174,1.25
29718,39.0,3.6666667,1.25,4.25,5.75,5.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,61.944443,47.310345,3.0
26800,48.0,3.5,1.5,3.75,6.25,5.5,0.71976924,-0.60841566,-0.8127104,55.055557,46.551723,1.8333334
60493,34.0,2.5,1.25,3.0,4.75,4.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,35.277779,27.586206,2.5
52051,40.0,3.3333333,1.75,4.5,6.75,6.75,0.13978951,-0.5333727,-0.8014102,95.055557,77.241379,1.4166666
