egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
17569,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week
77036,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
53518,,,,,,,
92340,,,,,,,
37485,,,,,,,
33953,,,,,,,
53333,,,,,,,
82986,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
61772,,,,,,,
47280,,,,,,,
70566,,,,,,,
82964,,,,,,,
11402,,,,,,,
38610,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
96610,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
77711,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
48505,,,,,,,
78667,,,,,,,
17020,,,,,,,
48676,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
29885,,,,,,,
32976,,,,,,,
79167,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
65061,,,,,,,
43710,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
61389,,,,,,,
22455,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
82819,,,,,,,
67771,,,,,,,
57443,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
96469,Not at all,Not at all,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more
94579,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
29257,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
23518,,,,,,,
80484,,,,,,,
49539,,,,,,,
63904,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
82490,,,,,,,
20335,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
35031,,,,,,,
88185,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
35344,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
31175,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
41167,,,,,,,
98325,,,,,,,
36963,,,,,,,
50666,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
98624,,,,,,,
42617,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
58793,,,,,,,
25125,,,,,,,
25548,Not at all,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
25966,,,,,,,
95444,,,,,,,
96689,,,,,,,
22587,,,,,,,
43581,,,,,,,
75578,,,,,,,
43507,,,,,,,
91551,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
30676,,,,,,,
19030,,,,,,,
33657,Not at all,1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
76521,,,,,,,
52848,,,,,,,
40231,,,,,,,
65656,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
30610,,,,,,,
36117,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
82587,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Three times a week or more
14690,,,,,,,
40569,,,,,,,
97021,,,,,,,
26320,Not at all,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,1-2 times a week
77532,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
92515,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
97844,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
81647,Not at all,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
33127,,,,,,,
45958,,,,,,,
49790,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
74251,,,,,,,
28326,,,,,,,
20507,,,,,,,
71592,,,,,,,
15181,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month
70209,,,,,,,
78657,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
21887,,,,,,,
48154,Not at all,Not at all,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,Not at all
92953,,,,,,,
90192,,,,,,,
51495,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
34344,,,,,,,
21793,,,,,,,
37218,,,,,,,
17932,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Not at all,1-2 times a week
95026,,,,,,,
66800,,,,,,,
73693,,,,,,,
80429,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
75149,Not at all,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
61659,,,,,,,
81420,,,,,,,
33740,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
37979,,,,,,,
87192,,,,,,,
67709,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all
36552,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
14301,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
36384,,,,,,,
