egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
95444,,,,
96689,,,,
22587,,,,
43581,1-2 times a week,1-2 times a month,Not at all,Not at all
75578,,,,
43507,,,,
91551,Three times a week or more,1-2 times a week,Not at all,Not at all
30676,,,,
19030,,,,
33657,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month
76521,,,,
52848,,,,
40231,,,,
65656,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
30610,,,,
36117,Not at all,1-2 times a month,Not at all,Not at all
82587,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
14690,,,,
40569,,,,
97021,,,,
26320,1-2 times a week,1-2 times a week,Not at all,Not at all
77532,Three times a week or more,Not at all,Not at all,Not at all
92515,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
97844,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
81647,,,,
33127,,,,
45958,,,,
49790,1-2 times a week,1-2 times a week,Not at all,Not at all
74251,,,,
28326,,,,
20507,,,,
71592,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
15181,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
70209,,,,
78657,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all
21887,,,,
48154,1-2 times a week,1-2 times a month,Three times a week or more,Not at all
92953,,,,
90192,,,,
51495,Not at all,1-2 times a week,1-2 times a week,Not at all
34344,,,,
21793,,,,
37218,,,,
17932,1-2 times a week,Three times a week or more,1-2 times a week,1-2 times a month
95026,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
66800,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
73693,,,,
80429,Not at all,Not at all,Not at all,Not at all
75149,,,,
61659,,,,
81420,,,,
33740,,,,
37979,,,,
87192,,,,
67709,1-2 times a week,1-2 times a week,Not at all,Not at all
36552,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
14301,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
36384,,,,
63138,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all
51298,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
74632,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
16654,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
54394,,,,
84768,1-2 times a month,1-2 times a month,Not at all,Not at all
29134,Not at all,Not at all,Not at all,Not at all
24029,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a week
35361,,,,
87056,,,,
49086,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
67917,,,,
85503,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all
60008,,,,
66542,,,,
55881,,,,
86265,,,,
10732,,,,
22119,Not at all,Three times a week or more,Not at all,Three times a week or more
50797,,,,
39564,,,,
39285,,,,
22460,,,,
25172,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
77134,1-2 times a week,1-2 times a week,Not at all,Not at all
22143,,,,
93766,,,,
45097,,,,
26289,,,,
95490,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
66979,,,,
23253,Three times a week or more,1-2 times a week,Not at all,Not at all
12900,,,,
90079,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month
47584,1-2 times a month,Not at all,Not at all,Not at all
97990,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all
39248,,,,
29354,,,,
25743,,,,
91429,1-2 times a week,1-2 times a week,Not at all,Not at all
82269,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
22842,1-2 times a week,1-2 times a month,1-2 times a month,Less than 1-2 times a month
31311,,,,
32423,,,,
33084,,,,
14279,Not at all,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month
91932,,,,
32404,,,,
73577,,,,
70561,,,,
43177,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
36501,,,,
26857,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
28327,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all
42674,,,,
79897,,,,
64978,,,,
70434,,,,
52302,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
97050,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
46418,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
86691,,,,
93002,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
81930,,,,
56543,,,,
92618,,,,
17470,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week
74211,,,,
