egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
71089,Not at all,Not at all,Three times a week or more,Not at all,has stayed about the same
80980,,,,,
29115,,,,,
98462,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,has stayed about the same
94455,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
11148,1-2 times a week,Not at all,1-2 times a month,Not at all,has stayed about the same
88384,,,,,
64302,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
22688,1-2 times a month,Not at all,Three times a week or more,Not at all,increased a bit
38815,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
34525,,,,,
68404,1-2 times a week,Not at all,1-2 times a week,Not at all,
71836,,,,,
12748,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
33445,,,,,
83078,,,,,
72160,,,,,
55569,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,has stayed about the same
72885,1-2 times a month,Not at all,Not at all,Not at all,increased a bit
36574,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
71193,,,,,
44070,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
49010,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
98760,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
95374,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
71985,,,,,
43125,Less than 1-2 times a month,Not at all,Not at all,Not at all,increased a bit
98117,1-2 times a month,1-2 times a month,Not at all,Not at all,has stayed about the same
22989,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,
24883,Not at all,Not at all,Not at all,Less than 1-2 times a month,has stayed about the same
20650,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
19460,,,,,
66815,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all,has stayed about the same
89161,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
54956,1-2 times a week,Not at all,1-2 times a week,Not at all,
14847,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
85453,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week,has stayed about the same
19827,Three times a week or more,1-2 times a month,Three times a week or more,Not at all,has stayed about the same
31121,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,increased a good deal
38683,1-2 times a week,Not at all,Three times a week or more,1-2 times a month,increased a bit
82918,,,,,
43382,1-2 times a week,Not at all,1-2 times a month,Not at all,increased a good deal
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
94215,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
80675,Three times a week or more,Not at all,Not at all,Three times a week or more,has stayed about the same
57144,Less than 1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month,
94662,Not at all,Not at all,Not at all,Not at all,has stayed about the same
98700,,,,,
33341,,,,,
65072,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
37148,,,,,
11910,,Not at all,1-2 times a week,Not at all,
75438,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
99733,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all,increased a bit
27407,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,has stayed about the same
14250,,,,,
43794,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
73918,,,,,
60216,Three times a week or more,1-2 times a week,Not at all,Not at all,increased a bit
28681,,,,,
51437,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
21932,Three times a week or more,1-2 times a week,Not at all,Not at all,has stayed about the same
29733,1-2 times a week,Not at all,Not at all,Not at all,has stayed about the same
98206,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
36385,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
54030,,,,,
67993,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month,increased a bit
96543,1-2 times a week,1-2 times a month,Three times a week or more,Less than 1-2 times a month,increased a bit
49800,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
29296,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,increased a bit
