egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
83566,201810,19927,A
83566,201510,11374,A-
83566,201520,30320,A
83566,201720,28535,A
83566,201900,2653,A
83566,201820,30036,A-
83566,201610,11148,B+
83566,201710,15951,S
83566,201810,20573,A
83566,201710,10152,S
83566,201710,21204,A
83566,201900,3455,A
83566,201520,21758,B+
83566,201520,25670,A
83566,201510,14051,B
83566,201620,20937,A-
83566,201900,2658,A-
83566,201610,17081,A-
83566,201620,30362,A
83566,201520,20133,C+
83566,201510,19464,B
83566,201720,22113,A
83566,201810,14091,A
83566,201710,15948,A-
83566,201810,19736,B+
83566,201900,2656,A
83566,201520,26045,A-
83566,201820,26368,S
83566,201900,2679,A
83566,201820,31523,A
83566,201820,29814,A
83566,201820,30041,A-
83566,201720,31483,A
83566,201720,31475,B+
83566,201610,14890,B+
83566,201710,12917,A
83566,201610,11514,S
83566,201810,19396,A-
83566,201900,2657,A
83566,201710,16332,A
83566,201900,2670,A
83566,201520,20445,A
83566,201510,13549,A
83566,201620,21599,A
83566,201510,10076,A-
83566,201900,2661,A
83566,201510,20483,A
21090,201620,29418,A
21090,201610,11518,A
21090,201520,21765,A
21090,201720,20205,A
21090,201710,21026,A
21090,201610,19559,A
21090,201610,20559,A
21090,201620,25589,A
21090,201510,11794,S
21090,201610,20451,A
21090,201520,29034,A
21090,201520,30459,S
21090,201710,11601,S
21090,201820,20994,S
21090,201810,11534,S
21090,201810,19478,A
21090,201720,30347,A-
21090,201510,14526,A
21090,201720,25339,A
21090,201610,11728,S
21090,201510,11290,A
21090,201520,21190,S
21090,201720,22659,A
21090,201710,17243,A
21090,201610,10497,A
21090,201710,16709,P
21090,201520,26445,A
21090,201510,20417,A
21090,201620,29419,A
21090,201710,19939,A
21090,201520,30280,A
21090,201520,24754,A
21090,201820,26461,A
21090,201810,15516,A
21090,201820,24022,A
21090,201510,10557,A
21090,201520,25673,A-
21090,201820,26046,A
21090,201620,27269,A
21090,201510,12807,A
21090,201710,10853,A
21090,201810,15788,A
21090,201620,25744,A
21090,201620,21204,A
21090,201810,11029,A
21090,201820,26253,A
21090,201720,29703,A
21090,201620,21122,S
21090,201610,20560,A
21090,201510,11906,A-
21090,201620,26232,A
94641,201510,18032,A-
94641,201610,10207,A
94641,201510,13630,A-
94641,201400,3384,S
94641,201510,17155,A
94641,201520,26448,A
94641,201610,11872,A
94641,201810,16398,A
94641,201620,23821,B+
94641,201810,11029,A
94641,201620,21204,A
94641,201810,19482,A
94641,201810,19854,A
94641,201710,17314,B+
94641,201720,22659,A
94641,201620,29418,A
94641,201620,29843,A
94641,201710,10515,A
