egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
18111,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
42646,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
63922,,,,
59097,,,,
72912,406.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
91484,,,,
24833,,,,
21971,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
58654,,,,
13928,,,,
84502,128.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
64090,,,,
52123,402.0,102.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
78783,,,,
25197,501.0,,Ph.D or Ed.D.,no
35872,510.0,,"Bachelor's degree (B.A., B.S., etc.)",no
93462,,,,
23270,512.0,,"M.D., D.O., D.D.S., or D.V.M.",no
69807,109.0,501.0,Ph.D or Ed.D.,no
92716,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
66061,,,,
56058,,,,
57854,,,,
68679,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
90750,,,,
70125,,,,
67192,134.0,,Ph.D or Ed.D.,yes
12029,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no
70745,117.0,,J.D. (Law),no
43255,,,,
93856,309.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
10237,111.0,,"Bachelor's degree (B.A., B.S., etc.)",no
97448,134.0,135.0,J.D. (Law),yes
43603,,,,
86974,,,,
89165,,,,
97280,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
54098,304.0,,"Bachelor's degree (B.A., B.S., etc.)",no
66156,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
67177,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no
22540,,,,
70668,,,,
15586,,,,
27232,,,,
18611,507.0,125.0,J.D. (Law),yes
87328,109.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
88963,,,,
61756,,,,
57045,,,,
49497,108.0,406.0,"Bachelor's degree (B.A., B.S., etc.)",no
15031,,,,
79607,,,,
41952,,,,
17183,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no
22408,511.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",yes
54435,130.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
38554,,,,
38293,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
33785,304.0,123.0,Ph.D or Ed.D.,no
44310,405.0,137.0,"Bachelor's degree (B.A., B.S., etc.)",no
33009,130.0,,J.D. (Law),no
31294,,,,
65143,,,,
91726,,,,
59355,,,,
96184,,,,
92339,116.0,114.0,"Bachelor's degree (B.A., B.S., etc.)",no
70005,,,,
64157,102.0,110.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
68050,,,,
46151,,,,
79395,,,,
59863,,,,
63419,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
22913,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no
91313,,,,
14511,,,,
73962,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
48969,116.0,110.0,"Bachelor's degree (B.A., B.S., etc.)",no
22093,,,,
32919,,,,
10153,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
79731,,,,
63611,,,,
64296,506.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
23487,,,,
17569,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
77036,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no
53518,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
92340,,,,
37485,,,,
33953,,,,
53333,,,,
82986,502.0,137.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61772,,,,
47280,,,,
70566,,,,
82964,,,,
11402,131.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
38610,501.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
96610,131.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
77711,401.0,109.0,Ph.D or Ed.D.,no
48505,,,,
78667,,,,
17020,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
48676,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
29885,109.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
32976,,,,
79167,128.0,116.0,J.D. (Law),no
65061,,,,
43710,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
61389,,,,
22455,128.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
82819,,,,
67771,,,,
57443,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
96469,128.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
94579,512.0,,Ph.D or Ed.D.,no
29257,508.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
