egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
15134,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
42531,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
34062,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
18111,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week,Occasionally,Frequently
42646,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
59097,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
72912,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
24833,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
21971,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
84502,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
52123,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Never
78783,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
25197,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Never
35872,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
23270,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
92716,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
68679,Three times a week or more,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Three times a week or more,Always,Never
70125,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Always
67192,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Never
12029,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Occasionally
70745,Not at all,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Never
93856,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Always
10237,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
97448,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Frequently,Frequently
54098,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
66156,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
67177,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Always
22540,,,,,,,,
18611,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Always
87328,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Never
49497,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,1-2 times a month,Three times a week or more,Always,Always
17183,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Always,Frequently
22408,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
54435,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
38293,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Occasionally
33785,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
44310,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
33009,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
70005,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
64157,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Always
79395,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Always
59863,Not at all,1-2 times a week,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Occasionally
63419,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
22913,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Frequently
91313,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
14511,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
73962,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
48969,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Never
10153,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
64296,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
17569,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Always
77036,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Never
53518,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month,Three times a week or more,Occasionally,Always
33953,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all,Frequently,Frequently
82986,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Always
11402,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
38610,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Never,
