egoid,sexorientation_1,sexcontacttype_1,sexattracttype_1
75578,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
43507,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
91551,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
30676,Other,Men only,Equally attracted to females and males?
19030,Heterosexual or straight,Women only,Only attracted to females?
33657,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
76521,Heterosexual or straight,Women only,Only attracted to females?
52848,Heterosexual or straight,Women only,Only attracted to females?
40231,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
65656,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
30610,,,
36117,Heterosexual or straight,Women only,Only attracted to females?
82587,,,
14690,,,
40569,Heterosexual or straight,Women only,Only attracted to females?
97021,,,
26320,Heterosexual or straight,Men only,Mostly attracted to males?
77532,,,
92515,Heterosexual or straight,Women only,Only attracted to females?
97844,,,
81647,,,
33127,Heterosexual or straight,Women only,Only attracted to females?
45958,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
49790,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
74251,Heterosexual or straight,Men only,Only attracted to males?
28326,Heterosexual or straight,Women only,Only attracted to females?
20507,Heterosexual or straight,Women only,Only attracted to females?
71592,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
15181,,,
70209,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
78657,Heterosexual or straight,Women only,Only attracted to females?
21887,Heterosexual or straight,Women only,Only attracted to females?
48154,Heterosexual or straight,Men only,Only attracted to males?
92953,,,
90192,Heterosexual or straight,Women only,Only attracted to females?
51495,,,
34344,Heterosexual or straight,Men only,Only attracted to males?
21793,Heterosexual or straight,Women only,Only attracted to females?
37218,Heterosexual or straight,I have not had sexual contact,Not sure?
17932,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
95026,,,
66800,Heterosexual or straight,Women only,Only attracted to females?
73693,Heterosexual or straight,Women only,Only attracted to females?
80429,,,
75149,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
61659,,,
81420,Heterosexual or straight,Women only,Only attracted to females?
33740,Heterosexual or straight,Men only,Only attracted to males?
37979,,,
87192,,,
67709,Gay or lesbian,I have not had sexual contact,Mostly attracted to males?
36552,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
14301,,,
36384,,,
63138,Heterosexual or straight,Men only,Only attracted to males?
51298,,,
74632,,,
16654,Heterosexual or straight,Women only,Only attracted to females?
54394,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
84768,Heterosexual or straight,Men only,Only attracted to males?
29134,Heterosexual or straight,Men only,Mostly attracted to males?
24029,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
35361,Heterosexual or straight,Women only,Only attracted to females?
87056,,,
49086,Heterosexual or straight,Men only,Only attracted to males?
67917,Heterosexual or straight,Women only,Mostly attracted to females?
85503,Heterosexual or straight,Women only,Only attracted to females?
60008,Heterosexual or straight,Women only,Only attracted to females?
66542,,,
55881,Heterosexual or straight,Women only,Only attracted to females?
86265,,,
10732,,,
22119,,,
50797,,,
39564,,,
39285,,,
22460,Heterosexual or straight,Women only,Only attracted to females?
25172,,,
77134,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
22143,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
93766,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
45097,Heterosexual or straight,Men only,Only attracted to males?
26289,Heterosexual or straight,Men only,Only attracted to males?
95490,Heterosexual or straight,Men only,Mostly attracted to males?
66979,Heterosexual or straight,Men only,Mostly attracted to males?
23253,,,
12900,,,
90079,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
47584,,,
97990,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
39248,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
29354,Heterosexual or straight,Men only,Only attracted to males?
25743,,,
91429,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
82269,Heterosexual or straight,Men only,Only attracted to males?
22842,Heterosexual or straight,Women only,Only attracted to females?
31311,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
32423,Heterosexual or straight,Women only,Only attracted to females?
33084,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
14279,Heterosexual or straight,Men only,Only attracted to males?
91932,Bisexual,Both men and women,Mostly attracted to males?
32404,Heterosexual or straight,Women only,Only attracted to females?
73577,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
70561,,,
43177,,,
36501,Heterosexual or straight,Women only,Only attracted to females?
26857,,,
28327,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
42674,Heterosexual or straight,Men only,Mostly attracted to males?
